Date,Pmtwo,NO,CO,AQI
09-06-2015,38.11,7.41,7.41,184
10-06-2015,45.5,8.56,8.56,220
11-06-2015,36.98,8.21,8.21,215
12-06-2015,43.58,8.26,8.26,226
13-06-2015,45.49,9.63,9.63,251
14-06-2015,38.06,8.67,8.67,216
15-06-2015,45.41,9.35,9.35,237
16-06-2015,37.71,8.54,8.54,198
17-06-2015,32.37,7.53,7.53,195
18-06-2015,34.74,7.59,7.59,187
19-06-2015,32.56,7.34,7.34,181
20-06-2015,29.28,7.55,7.55,179
21-06-2015,20.46,7.15,7.15,188
22-06-2015,26.07,7.99,7.99,190
23-06-2015,21.43,7.45,7.45,185
24-06-2015,11.91,7.34,7.34,189
25-06-2015,57.75,8.68,8.68,196
26-06-2015,66.39,8.58,8.58,201
27-06-2015,62.61,9.15,9.15,231
28-06-2015,47.5,8.07,8.07,196
29-06-2015,111.8,9.23,9.23,220
30-06-2015,30,8.87,8.87,244
01-07-2015,4.66,9.01,9.01,223
02-07-2015,48.72,9.56,9.56,230
03-07-2015,49.7,9.43,9.43,243
04-07-2015,48.1,8.03,8.03,215
05-07-2015,47.43,8.11,8.11,199
06-07-2015,51.74,8.91,8.91,200
07-07-2015,42.68,9.74,9.74,226
08-07-2015,38.45,10.55,10.55,241
09-07-2015,46.69,11.48,11.48,222
10-07-2015,55.27,11.55,11.55,223
11-07-2015,149.03,11.49,11.49,248
12-07-2015,86.57,11.47,11.47,300
13-07-2015,111.77,11.3,11.3,232
14-07-2015,151.4,10.8,10.8,330
15-07-2015,51.35,8,8,223
16-07-2015,65.37,0.64,0.64,105
17-07-2015,56.28,0.6,0.6,101
18-07-2015,48.17,0.65,0.65,93
19-07-2015,33.56,0.72,0.72,67
20-07-2015,31.3,0.55,0.55,60
21-07-2015,48.12,0.67,0.67,
22-07-2015,57.11,0.55,0.55,90
23-07-2015,34.72,0.1,0.1,78
24-07-2015,29.22,0.06,0.06,48
25-07-2015,29.79,0.14,0.14,53
26-07-2015,59.95,0.18,0.18,91
27-07-2015,19.2,1.52,1.52,70
28-07-2015,19.52,5.89,5.89,157
29-07-2015,35.16,5.75,5.75,158
30-07-2015,33.03,7.01,7.01,169
31-07-2015,40.95,6.92,6.92,174
01-08-2015,40.29,6.74,6.74,173
02-08-2015,41.16,6.91,6.91,172
03-08-2015,36.12,7.21,7.21,190
04-08-2015,28.51,6.69,6.69,171
05-08-2015,31.59,6.99,6.99,168
06-08-2015,42.56,7.17,7.17,172
07-08-2015,48.12,7.14,7.14,173
08-08-2015,37.09,7.22,7.22,175
09-08-2015,33.4,7.4,7.4,179
10-08-2015,38.64,7.35,7.35,174
11-08-2015,40.49,7.48,7.48,176
12-08-2015,41.37,7.47,7.47,179
13-08-2015,44.56,7.49,7.49,175
14-08-2015,65.68,7.57,7.57,177
15-08-2015,33.34,7.3,7.3,175
16-08-2015,39.17,7.35,7.35,174
17-08-2015,34,7.41,7.41,179
18-08-2015,36.38,7.31,7.31,177
19-08-2015,38.35,7.41,7.41,180
20-08-2015,38.5,12.38,12.38,274
21-08-2015,39.61,17.31,17.31,310
22-08-2015,61.79,17.24,17.24,303
23-08-2015,43.22,17.17,17.17,302
24-08-2015,33.41,17.12,17.12,302
25-08-2015,36.9,17.08,17.08,302
26-08-2015,36.36,17.11,17.11,302
27-08-2015,32.64,17.01,17.01,302
28-08-2015,38.23,17.07,17.07,302
29-08-2015,39.86,16.98,16.98,301
30-08-2015,72.74,17.04,17.04,302
31-08-2015,43.2,17.05,17.05,302
01-09-2015,63.2,17.03,17.03,302
02-09-2015,64.73,17.01,17.01,302
03-09-2015,65.28,17.04,17.04,301
04-09-2015,67.86,16.97,16.97,302
05-09-2015,52.4,16.97,16.97,301
